State,Winning Party,Difference,DEM total votes,REP total votes,Winning % margin,Margin,Turnout,Region,VEP
Alabama,REP,591520,849648,1441168,25.82136671,-25.82136671,62.6,South,3683055
Alaska,REP,36487,153405,189892,10.62840631,-10.62840631,69.8,South,525568
Arizona,DEM,10457,1672143,1661686,0.313663358,0.313663358,65.5,South,5189000
Arkansas,REP,336715,423932,760647,28.42486656,-28.42486656,55.5,South,2182375
California,DEM,5103803,11109764,6005961,29.81937955,29.81937955,64.7,West,25962648
Colorado,DEM,439745,1804352,1364607,13.87663898,13.87663898,76.4,West,4313054
Connecticut,DEM,365389,1080680,715291,20.34492762,20.34492762,71.1,Northeast,2603327
Delaware,DEM,95665,296268,200603,19.25348833,19.25348833,70.5,Northeast,720531
Florida,REP,371686,5297045,5668731,3.389509324,-3.389509324,71.7,South,15551739
Georgia,DEM,11779,2473633,2461854,0.238659326,0.238659326,68.1,South,7383562
Hawaii,DEM,169266,366130,196864,30.06532929,30.06532929,57.5,West,1007920
Idaho,REP,267098,287021,554119,31.75428585,-31.75428585,67.7,West,1292701
Illinois,DEM,1429227,4253153,2823926,20.19515396,20.19515396,67.6,Midwest,9027082
Indiana,REP,487357,1242495,1729852,16.3963696,-16.3963696,61.4,Midwest,5000007
Iowa,REP,138611,759061,897672,8.366526169,-8.366526169,78.6,Midwest,2321131
Kansas,REP,199431,558669,758100,15.1454811,-15.1454811,64.2,Midwest,2087946
Kentucky,REP,554172,772474,1326646,26.4002058,-26.4002058,64.9,South,3312250
Louisiana,REP,399742,856034,1255776,18.92888091,-18.92888091,63.9,South,3373932
Maine,DEM,70574,430473,359899,8.929213079,8.929213079,79.2,South,1085285
Maryland,DEM,1008609,1985023,976414,34.05809409,34.05809409,70.7,South,4313416
Massachusetts,DEM,1215000,2382202,1167202,34.23109908,34.23109908,73.4,Northeast,5072901
Michigan,DEM,154188,2804040,2649852,2.827118689,2.827118689,73.6,Midwest,7550147
Minnesota,DEM,233012,1717077,1484065,7.279027297,7.279027297,79.9,Midwest,4118462
Mississippi,REP,217366,539398,756764,16.76997165,-16.76997165,60.4,Midwest,2201950
Missouri,REP,465722,1253014,1718736,15.67164129,-15.67164129,66.3,Midwest,4603060
Montana,REP,98816,244786,343602,16.79436018,-16.79436018,73.1,West,837298
Nebraska,REP,182263,374583,556846,19.56810449,-19.56810449,68.6,West,1383551
Nevada,DEM,33596,703486,669890,2.44623468,2.44623468,63.6,West,2153915
New Hampshire,DEM,59267,424921,365654,7.496695443,7.496695443,75.4,Northeast,1079434
New Jersey,DEM,725061,2608335,1883274,16.14256717,16.14256717,73,West,6158999
New Mexico,DEM,99720,501614,401894,11.0369803,11.0369803,61,West,1515355
New York,DEM,1993776,5244006,3250230,23.47210508,23.47210508,65.3,Northeast,13670596
North Carolina,REP,74481,2684292,2758773,1.368365066,-1.368365066,72.2,Northeast,7759051
North Dakota,REP,120693,114902,235595,34.43481685,-34.43481685,64.6,Northeast,565143
Ohio,REP,475669,2679165,3154834,8.153395295,-8.153395295,68.9,Midwest,8859167
Oklahoma,REP,516390,503890,1020280,33.88007899,-33.88007899,55,South,2845835
Oregon,DEM,381935,1340383,958448,16.61431397,16.61431397,75.2,West,3196425
Pennsylvania,DEM,81660,3459923,3378263,1.19417635,1.19417635,70.5,Northeast,9781976
Rhode Island,DEM,106373,306210,199837,21.02037953,21.02037953,65,Northeast,799642
South Carolina,REP,293562,1091541,1385103,11.8532175,-11.8532175,64.5,South,3926305
South Dakota,REP,110572,150471,261043,26.86955972,-26.86955972,66,Midwest,648104
Tennessee,REP,709035,1143913,1852948,23.65925547,-23.65925547,59.7,South,5124867
Texas,REP,631221,5259126,5890347,5.661442474,-5.661442474,60.2,South,18784280
Utah,REP,304858,560282,865140,21.38721024,-21.38721024,66.2,West,2191487
Vermont,DEM,130116,242820,112704,36.59837311,36.59837311,74,West,499884
Virginia,DEM,451138,2413568,1962430,10.309374,10.309374,71.4,South,6196071
Washington,DEM,784961,2369612,1584651,19.85100637,19.85100637,75.4,West,5437844
West Virginia,REP,309398,235984,545382,39.59706463,-39.59706463,57,South,1394028
Wisconsin,DEM,20608,1630673,1610065,0.635904538,0.635904538,76.1,South,4368530
Wyoming,REP,120068,73491,193559,44.96086875,-44.96086875,64.6,West,431364